Record_number,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,vntype,haslength
1462,PhysicalObject,2016-02-28T17:58:48.000Z,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj","Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Record ID: urn:uuid:f24d5993-78a9-4c93-b936-27a8a89f1b42. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",http://collections.peabody.yale.edu/search/Record/YPM-HERA-014496,,,,YPM,VZ,,PreservedSpecimen,,Coordinate data unavailable,,urn:uuid:f24d5993-78a9-4c93-b936-27a8a89f1b42,YPM HERA 014496,,,12,,Gosner 25-27: tadpole w/no legs,,,managed,,70% alc.,,,,,,,number 14496; lot count 12; captive,,,,,,Rana catesbeiana,,,,,06/14/2008,,166,166,2008,6,14,06/14/2008,,,,,,,,North America; USA; Connecticut; New Haven County; New Haven,North America,,,,USA,,Connecticut,New Haven County,New Haven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,Animalia; Chordata; Vertebrata; Amphibia; Anura; Ranidae,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,Species,,"Shaw, 1802",American Bullfrog; Ranid Frogs; Frogs; Amphibians; vertebrates; chordates; animals,ICZN,,,,,,,,Gosner 25-27: tadpole w/no legs,,,"Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",861d3d64-f762-11e1-a439-00145eb45e9a,2e167bb0-4441-11db-9ba2-b8a03c50a862,lawrence.gall@yale.edu,Larry Gall,10/09/2015,08/11/2016,no migrator,0,0,1,0,specimen,0
1463,PhysicalObject,2016-02-28T17:58:48.000Z,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj","Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Record ID: urn:uuid:f50159f6-624d-440b-9156-ca2ea32b7c86. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",http://collections.peabody.yale.edu/search/Record/YPM-HERA-014490,,,,YPM,VZ,,PreservedSpecimen,,Coordinate data unavailable,,urn:uuid:f50159f6-624d-440b-9156-ca2ea32b7c86,YPM HERA 014490,,,12,,Gosner 25-27: tadpole w/no legs,,,managed,,70% alc.,,,,,,,number 14490; lot count 12; captive,,,,,,Rana catesbeiana,,,,,06/14/2008,,166,166,2008,6,14,06/14/2008,,,,,,,,North America; USA; Connecticut; New Haven County; New Haven,North America,,,,USA,,Connecticut,New Haven County,New Haven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,Animalia; Chordata; Vertebrata; Amphibia; Anura; Ranidae,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,Species,,"Shaw, 1802",American Bullfrog; Ranid Frogs; Frogs; Amphibians; vertebrates; chordates; animals,ICZN,,,,,,,,Gosner 25-27: tadpole w/no legs,,,"Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",861d3d64-f762-11e1-a439-00145eb45e9a,2e167bb0-4441-11db-9ba2-b8a03c50a862,lawrence.gall@yale.edu,Larry Gall,10/09/2015,08/11/2016,no migrator,0,0,1,0,specimen,0
1464,PhysicalObject,2016-05-02T14:04:37.000Z,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj","Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Record ID: urn:uuid:f7d74047-81a7-4b8b-803b-31ca5ee1d0f8. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",http://collections.peabody.yale.edu/search/Record/YPM-HERA-011668,,,,YPM,VZ,,PreservedSpecimen,,Coordinate data unavailable,,urn:uuid:f7d74047-81a7-4b8b-803b-31ca5ee1d0f8,YPM HERA 011668,,,12,,Gosner 42: tadpole w/forelimbs emerged,,,,,70% alc.,,,||,,,,number 11668; lot count 12,,,,,,Rana catesbeiana|Lithobates catesbeianus|Rana catesbeiana,,,,777,07/26/2001,,207,207,2001,7,26,07/26/2001,,,,,,,,North America; USA; Connecticut; Tolland County; Tolland,North America,,,,USA,,Connecticut,Tolland County,Tolland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,Animalia; Chordata; Vertebrata; Amphibia; Anura; Ranidae,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,Species,,"Shaw, 1802",American Bullfrog; Ranid Frogs; Frogs; Amphibians; vertebrates; chordates; animals,ICZN,,,,,,,,Gosner 42: tadpole w/forelimbs emerged,,,"Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",861d3d64-f762-11e1-a439-00145eb45e9a,2e167bb0-4441-11db-9ba2-b8a03c50a862,lawrence.gall@yale.edu,Larry Gall,10/09/2015,08/11/2016,no migrator,0,0,0,0,specimen,0
1465,PhysicalObject,2016-04-28T09:32:03.000Z,http://creativecommons.org/publicdomain/zero/1.0/,Yale Peabody Museum of Natural History,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj","Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Record ID: urn:uuid:fb42bc50-ee50-4b0d-b3e2-f4625b1f92e2. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",http://collections.peabody.yale.edu/search/Record/YPM-HERA-011048,,,,YPM,VZ,,PreservedSpecimen,,Coordinate data unavailable,,urn:uuid:fb42bc50-ee50-4b0d-b3e2-f4625b1f92e2,YPM HERA 011048,,,1,,Gosner 41: tadpole w/forelimbs inside,,,,,70% alc.,,,||,,,,number 11048; lot count 1,,,,,,Rana catesbeiana|Lithobates catesbeianus|Rana catesbeiana,,,,566,06/26/2001,,177,177,2001,6,26,06/26/2001,,,,,,,,North America; USA; Connecticut; Tolland County; Union,North America,,,,USA,,Connecticut,Tolland County,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rana catesbeiana,,,,,Animalia; Chordata; Vertebrata; Amphibia; Anura; Ranidae,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,catesbeiana,,Species,,"Shaw, 1802",American Bullfrog; Ranid Frogs; Frogs; Amphibians; vertebrates; chordates; animals,ICZN,,,,,,,,Gosner 41: tadpole w/forelimbs inside,,,"Yale Peabody Museum. Vertebrate Zoology Division - Herpetology, Yale Peabody Museum. Source: http://ipt.peabody.yale.edu/ipt/resource.do?r=ipt_vz_her (source published on 2015-10-09)",861d3d64-f762-11e1-a439-00145eb45e9a,2e167bb0-4441-11db-9ba2-b8a03c50a862,lawrence.gall@yale.edu,Larry Gall,10/09/2015,08/11/2016,no migrator,0,0,0,0,specimen,0
1466,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: 2435e553-5890-4062-89f1-c45fcabc82b9. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/431736,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,2435e553-5890-4062-89f1-c45fcabc82b9,431736,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/431736,,,,,CU. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD056_084,,,,,,,,,,,2004-06,,,,2004,6,,04-Jun,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1467,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: 3381aec7-1865-48d4-841e-bb2b02432213. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/431662,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,3381aec7-1865-48d4-841e-bb2b02432213,431662,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/431662,,,,,in water. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD056_010,,,,,,,,,,,2004-06,,,,2004,6,,04-Jun,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1468,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: 59003c3e-c7ce-4756-904b-d4cbe2f9bdfd. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/431720,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,59003c3e-c7ce-4756-904b-d4cbe2f9bdfd,431720,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/431720,,,,,CU. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD056_068,,,,,,,,,,,2004-06,,,,2004,6,,04-Jun,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1469,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: 6e1c7960-c2b1-4011-b45a-07237588bfd0. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/431737,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,6e1c7960-c2b1-4011-b45a-07237588bfd0,431737,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/431737,,,,,CU. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD056_085,,,,,,,,,,,2004-06,,,,2004,6,,04-Jun,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1470,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: 75463720-6213-4673-b549-cd2358ed3b36. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/431661,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,75463720-6213-4673-b549-cd2358ed3b36,431661,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/431661,,,,,in water. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD056_009,,,,,,,,,,,2004-06,,,,2004,6,,04-Jun,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1471,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: 9de0d9f6-a051-46c9-80c2-32f7f4a2f783. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/432438,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,9de0d9f6-a051-46c9-80c2-32f7f4a2f783,432438,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/432438,,,,,sit in water. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD068_014,,,,,,,,,,,2004-07,,,,2004,7,,04-Jul,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1472,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: b146fc13-653c-4903-a0a9-5525154f03de. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/431634,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,b146fc13-653c-4903-a0a9-5525154f03de,431634,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/431634,,,,,[SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD055_039,,,,,,,,,,,2004-06,,,,2004,6,,04-Jun,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1473,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: bc7bf59c-2751-4535-b523-1854a30e0d50. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/431722,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,bc7bf59c-2751-4535-b523-1854a30e0d50,431722,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/431722,,,,,CU. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD056_070,,,,,,,,,,,2004-06,,,,2004,6,,04-Jun,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1474,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: c798cef6-1a97-4319-be55-dfc7ccb0802d. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/431617,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,c798cef6-1a97-4319-be55-dfc7ccb0802d,431617,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/431617,,,,,in water. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD055_022,,,,,,,,,,,2004-06,,,,2004,6,,04-Jun,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1475,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: e1cb0732-461f-48d1-b501-36dc97038f81. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/432439,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,e1cb0732-461f-48d1-b501-36dc97038f81,432439,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/432439,,,,,sit in water. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD068_015,,,,,,,,,,,2004-07,,,,2004,7,,04-Jul,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
1476,MovingImage,11/04/2015,CC0,,http://vertnet.org/resources/norms.html,Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: fbaeee1f-986f-4dc9-8c35-50116dec716d. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),http://macaulaylibrary.org/video/432450,urn:lsid:biocol.org:col:34939,,,CLO,ML,,MachineObservation,,,,fbaeee1f-986f-4dc9-8c35-50116dec716d,432450,,David O Brown,,,,,,,present,,,http://macaulaylibrary.org/video/432450,,,,,sit in water. view from straight above. [SUBJECT Amphibian - Bullfrog] ISCI:DB1_HD068_026,,,,,,,,,,,2004-07,,,,2004,7,,04-Jul,,,,,,,,| United States | New York | Tompkins |  |  |  |,North America,,,,United States,US,New York,Tompkins,,,United States | New York | Tompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,American Bullfrog,ICZN,,,,,,,,,,,Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04),7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,e2e717bf-551a-4917-bdc9-4fa0f342c530,edwin.scholes@cornell.edu,"Edwin Scholes III, Ph.D.",11/04/2015,08/11/2016,10/15/2015,1,0,0,0,observation,0
